alpha_id,zoo,theme,status,ic_mean,ic_std,icir,ic_pos_ratio,ic_tstat,ls_sharpe,top_sharpe,ls_ann_ret,reason
alpha101_019,alpha101,momentum,ok,0.0063,0.2113,0.47,0.526,0.85,-0.098,0.162,-0.0172,
alpha101_020,alpha101,reversal,ok,-0.0088,0.1914,-0.728,0.474,-1.51,-0.449,-0.301,-0.0705,
alpha101_021,alpha101,"momentum,volatility",ok,-0.0013,0.1599,-0.133,0.48,-0.27,0.451,-0.071,0.0595,
alpha101_022,alpha101,"volume,volatility",ok,-0.0061,0.1502,-0.64,0.489,-1.32,-0.77,-0.473,-0.0979,
alpha101_023,alpha101,momentum,ok,0.008,0.1794,0.707,0.51,1.45,0.085,0.015,0.0127,
alpha101_024,alpha101,momentum,ok,0.0274,0.2063,2.106,0.551,4.36,0.619,0.083,0.1083,
alpha101_025,alpha101,"momentum,volume",skip,,,,,,,,,alpha101_025: panel missing required columns ['vwap']
alpha101_026,alpha101,volume,ok,0.0095,0.1577,0.955,0.529,1.97,-0.221,-0.206,-0.0291,
alpha101_027,alpha101,volume,skip,,,,,,,,,alpha101_027: panel missing required columns ['vwap']
alpha101_028,alpha101,volume,ok,0.0079,0.1665,0.754,0.514,1.55,1.45,0.337,0.2056,
alpha101_029,alpha101,"reversal,volume",ok,0.0061,0.2064,0.472,0.519,0.97,-0.274,-0.362,-0.0438,
alpha101_030,alpha101,"momentum,volume",ok,0.0106,0.1789,0.94,0.544,1.93,0.381,-0.126,0.0564,
alpha101_031,alpha101,momentum,ok,-0.0038,0.176,-0.342,0.52,-0.7,-0.216,-0.233,-0.0319,
alpha101_032,alpha101,momentum,skip,,,,,,,,,alpha101_032: panel missing required columns ['vwap']
alpha101_033,alpha101,reversal,ok,0.0306,0.2185,2.221,0.571,4.6,0.964,0.042,0.1751,
alpha101_034,alpha101,volatility,ok,0.0134,0.1808,1.178,0.529,2.44,0.476,0.168,0.072,
alpha101_035,alpha101,"volume,momentum",ok,0.0066,0.1966,0.536,0.515,1.09,-0.364,-0.398,-0.0592,
alpha101_036,alpha101,"momentum,volume",skip,,,,,,,,,alpha101_036: panel missing required columns ['vwap']
alpha101_037,alpha101,momentum,ok,0.0166,0.1905,1.38,0.531,2.58,0.32,0.226,0.0495,
alpha101_038,alpha101,reversal,ok,0.0182,0.2207,1.306,0.544,2.7,0.322,-0.29,0.0592,
alpha101_039,alpha101,"momentum,volume",ok,-0.0046,0.2278,-0.321,0.495,-0.58,-0.432,-0.314,-0.0765,
alpha101_040,alpha101,"volatility,volume",ok,0.0255,0.1916,2.108,0.551,4.35,0.409,-0.242,0.0636,
alpha101_041,alpha101,reversal,skip,,,,,,,,,alpha101_041: panel missing required columns ['vwap']
alpha101_042,alpha101,reversal,skip,,,,,,,,,alpha101_042: panel missing required columns ['vwap']
alpha101_043,alpha101,"volume,momentum",ok,-0.0011,0.1782,-0.102,0.487,-0.21,-0.675,-0.2,-0.0954,
alpha101_044,alpha101,volume,ok,0.0075,0.1422,0.842,0.521,1.74,-0.249,-0.248,-0.0299,
alpha101_045,alpha101,"momentum,volume",ok,0.0081,0.15,0.861,0.497,1.76,-0.101,-0.44,-0.0132,
alpha101_046,alpha101,momentum,ok,0.0041,0.1869,0.347,0.508,0.72,-0.173,-0.152,-0.0271,
alpha101_047,alpha101,"volume,momentum",skip,,,,,,,,,alpha101_047: panel missing required columns ['vwap']
alpha101_048,alpha101,"momentum,volatility",skip,,,,,,,,,alpha101_048: panel missing sector tag
alpha101_049,alpha101,momentum,ok,0.0067,0.2007,0.528,0.505,1.09,0.197,-0.449,0.0315,
alpha101_050,alpha101,volume,skip,,,,,,,,,alpha101_050: panel missing required columns ['vwap']
alpha101_051,alpha101,momentum,ok,0.0008,0.1982,0.065,0.498,0.13,0.123,-0.422,0.0189,
alpha101_052,alpha101,momentum,ok,-0.0047,0.2093,-0.359,0.477,-0.66,-0.497,0.004,-0.0855,
alpha101_053,alpha101,reversal,ok,0.025,0.1972,2.011,0.545,4.15,1.434,0.461,0.2251,
alpha101_054,alpha101,reversal,ok,0.0354,0.2026,2.777,0.557,5.76,1.859,0.544,0.3037,
alpha101_055,alpha101,"volume,reversal",ok,0.0024,0.1355,0.282,0.517,0.58,-0.527,-0.345,-0.0617,
alpha101_056,alpha101,momentum,skip,,,,,,,,,alpha101_056: panel missing sector tag
alpha101_057,alpha101,reversal,skip,,,,,,,,,alpha101_057: panel missing required columns ['vwap']
alpha101_058,alpha101,volume,skip,,,,,,,,,alpha101_058: panel missing required columns ['vwap']
alpha101_059,alpha101,volume,skip,,,,,,,,,alpha101_059: panel missing required columns ['vwap']
alpha101_060,alpha101,volume,ok,0.0364,0.1966,2.942,0.568,6.07,1.834,0.689,0.2963,
alpha101_061,alpha101,volume,skip,,,,,,,,,alpha101_061: panel missing required columns ['vwap']
alpha101_062,alpha101,volume,skip,,,,,,,,,alpha101_062: panel missing required columns ['vwap']
alpha101_063,alpha101,"volume,momentum",skip,,,,,,,,,alpha101_063: panel missing required columns ['vwap']
alpha101_064,alpha101,volume,skip,,,,,,,,,alpha101_064: panel missing required columns ['vwap']
alpha101_065,alpha101,volume,skip,,,,,,,,,alpha101_065: panel missing required columns ['vwap']
alpha101_066,alpha101,momentum,skip,,,,,,,,,alpha101_066: panel missing required columns ['vwap']
alpha101_067,alpha101,volume,skip,,,,,,,,,alpha101_067: panel missing required columns ['vwap']
alpha101_068,alpha101,volume,ok,0.0089,0.1305,1.079,0.513,2.2,1.001,0.54,0.1288,
alpha101_069,alpha101,volume,skip,,,,,,,,,alpha101_069: panel missing required columns ['vwap']
alpha101_070,alpha101,"momentum,volume",skip,,,,,,,,,alpha101_070: panel missing required columns ['vwap']
alpha101_071,alpha101,"volume,reversal",skip,,,,,,,,,alpha101_071: panel missing required columns ['vwap']
alpha101_072,alpha101,volume,skip,,,,,,,,,alpha101_072: panel missing required columns ['vwap']
alpha101_073,alpha101,volume,skip,,,,,,,,,alpha101_073: panel missing required columns ['vwap']
alpha101_074,alpha101,volume,skip,,,,,,,,,alpha101_074: panel missing required columns ['vwap']
alpha101_075,alpha101,volume,skip,,,,,,,,,alpha101_075: panel missing required columns ['vwap']
alpha101_076,alpha101,volume,skip,,,,,,,,,alpha101_076: panel missing required columns ['vwap']
alpha101_077,alpha101,volume,skip,,,,,,,,,alpha101_077: panel missing required columns ['vwap']
alpha101_078,alpha101,volume,skip,,,,,,,,,alpha101_078: panel missing required columns ['vwap']
alpha101_079,alpha101,"volume,momentum",skip,,,,,,,,,alpha101_079: panel missing required columns ['vwap']
alpha101_080,alpha101,"momentum,volume",skip,,,,,,,,,alpha101_080: panel missing sector tag
alpha101_081,alpha101,volume,skip,,,,,,,,,alpha101_081: panel missing required columns ['vwap']
alpha101_082,alpha101,volume,skip,,,,,,,,,alpha101_082: panel missing sector tag
alpha101_083,alpha101,"volume,volatility",skip,,,,,,,,,alpha101_083: panel missing required columns ['vwap']
alpha101_084,alpha101,momentum,skip,,,,,,,,,alpha101_084: panel missing required columns ['vwap']
alpha101_085,alpha101,volume,ok,-0.011,0.1664,-1.048,0.477,-2.13,0.408,0.276,0.0564,
alpha101_086,alpha101,volume,skip,,,,,,,,,alpha101_086: panel missing required columns ['vwap']
alpha101_087,alpha101,momentum,skip,,,,,,,,,alpha101_087: panel missing required columns ['vwap']
alpha101_088,alpha101,volume,ok,0.0117,0.1495,1.241,0.529,2.56,-0.387,0.05,-0.0521,
alpha101_089,alpha101,"volume,momentum",skip,,,,,,,,,alpha101_089: panel missing required columns ['vwap']
alpha101_090,alpha101,volume,skip,,,,,,,,,alpha101_090: panel missing sector tag
alpha101_091,alpha101,volume,skip,,,,,,,,,alpha101_091: panel missing required columns ['vwap']
alpha101_092,alpha101,volume,ok,0.0002,0.147,0.017,0.506,0.04,-0.258,-0.019,-0.0329,
alpha101_093,alpha101,volume,skip,,,,,,,,,alpha101_093: panel missing required columns ['vwap']
alpha101_094,alpha101,volume,skip,,,,,,,,,alpha101_094: panel missing required columns ['vwap']
alpha101_095,alpha101,volume,ok,0.007,0.1531,0.721,0.521,1.44,0.744,0.083,0.1052,
alpha101_096,alpha101,volume,skip,,,,,,,,,alpha101_096: panel missing required columns ['vwap']
alpha101_097,alpha101,volume,skip,,,,,,,,,alpha101_097: panel missing required columns ['vwap']
alpha101_098,alpha101,volume,skip,,,,,,,,,alpha101_098: panel missing required columns ['vwap']
alpha101_099,alpha101,volume,ok,-0.0042,0.1451,-0.456,0.475,-0.91,0.483,0.159,0.0623,
alpha101_100,alpha101,"volume,momentum",skip,,,,,,,,,alpha101_100: panel missing sector tag
alpha101_101,alpha101,reversal,ok,-0.0273,0.2122,-2.046,0.444,-4.24,-0.744,-0.698,-0.128,
dragon_tiger,sentiment,sentiment,no_ic,,,,,,,,,IC 序列为空
fundamental_quality_accrual,fundamental,quality,skip,,,,,,,,,fundamental_quality_accrual: panel missing extras ['accruals']
fundamental_quality_roe,fundamental,quality,skip,,,,,,,,,fundamental_quality_roe: panel missing extras ['roe']
fundamental_quality_roe_change,fundamental,quality,skip,,,,,,,,,fundamental_quality_roe_change: panel missing extras ['roe']
fundamental_quality_roe_pct,fundamental,quality,skip,,,,,,,,,fundamental_quality_roe_pct: panel missing extras ['roe']
fundamental_value_pb_inv,fundamental,value,skip,,,,,,,,,fundamental_value_pb_inv: panel missing extras ['bvps']
gtja191_001,gtja191,"volume,reversal",ok,0.0048,0.1514,0.506,0.513,1.05,-0.13,-0.202,-0.0168,
gtja191_002,gtja191,"reversal,microstructure",ok,0.0265,0.2014,2.088,0.559,4.33,0.889,0.239,0.1521,
gtja191_003,gtja191,momentum,ok,-0.0114,0.2092,-0.866,0.465,-1.79,-0.524,-0.721,-0.0916,
gtja191_004,gtja191,"momentum,volume",ok,-0.0013,0.1599,-0.133,0.48,-0.27,0.451,-0.071,0.0595,
gtja191_005,gtja191,volume,ok,0.0095,0.1577,0.955,0.529,1.97,-0.221,-0.206,-0.0291,
gtja191_006,gtja191,reversal,ok,0.0027,0.1981,0.22,0.498,0.45,0.439,0.108,0.0647,
gtja191_007,gtja191,"volume,microstructure",skip,,,,,,,,,gtja191_007: panel missing required columns ['amount']
gtja191_008,gtja191,reversal,skip,,,,,,,,,gtja191_008: panel missing required columns ['amount']
gtja191_009,gtja191,"volume,microstructure",ok,-0.0009,0.2136,-0.068,0.509,-0.14,0.12,-0.43,0.0198,
gtja191_010,gtja191,"volatility,reversal",ok,-0.0279,0.206,-2.15,0.453,-4.41,-0.906,-0.483,-0.1427,
gtja191_011,gtja191,"volume,microstructure",ok,-0.0119,0.2091,-0.901,0.489,-1.86,-0.571,-0.261,-0.095,
gtja191_012,gtja191,"reversal,microstructure",skip,,,,,,,,,gtja191_012: panel missing required columns ['amount']
gtja191_013,gtja191,microstructure,skip,,,,,,,,,gtja191_013: panel missing required columns ['amount']
gtja191_014,gtja191,momentum,ok,-0.0066,0.2195,-0.477,0.5,-0.99,0.036,-0.414,0.0065,
gtja191_015,gtja191,reversal,ok,0.0051,0.1841,0.438,0.522,0.91,0.426,0.282,0.0702,
gtja191_016,gtja191,"volume,microstructure",skip,,,,,,,,,gtja191_016: panel missing required columns ['amount']
gtja191_017,gtja191,reversal,skip,,,,,,,,,gtja191_017: panel missing required columns ['amount']
gtja191_018,gtja191,momentum,ok,-0.0102,0.2346,-0.692,0.493,-1.43,0.191,-0.213,0.0375,
gtja191_019,gtja191,reversal,ok,-0.0102,0.2346,-0.692,0.493,-1.43,0.18,-0.211,0.0354,
gtja191_020,gtja191,momentum,ok,-0.0108,0.2327,-0.735,0.494,-1.52,-0.028,-0.178,-0.0054,
gtja191_021,gtja191,momentum,ok,0.0057,0.2305,0.39,0.509,0.8,0.515,-0.198,0.0944,
gtja191_022,gtja191,reversal,ok,-0.0085,0.2192,-0.618,0.495,-1.28,0.206,-0.085,0.038,
gtja191_023,gtja191,volatility,ok,-0.0052,0.1953,-0.422,0.498,-0.87,-0.334,-0.087,-0.0566,
gtja191_024,gtja191,momentum,ok,0.0038,0.2392,0.25,0.505,0.52,0.443,-0.126,0.0847,
gtja191_025,gtja191,"momentum,volume",ok,-0.0006,0.2288,-0.044,0.507,-0.09,-0.191,-0.296,-0.0353,
gtja191_026,gtja191,"momentum,microstructure",skip,,,,,,,,,gtja191_026: panel missing required columns ['amount']
gtja191_027,gtja191,momentum,ok,0.0032,0.2415,0.207,0.502,0.43,0.46,0.273,0.0909,
gtja191_028,gtja191,momentum,ok,-0.0007,0.2249,-0.053,0.498,-0.11,0.401,-0.015,0.0707,
gtja191_029,gtja191,"momentum,volume",ok,-0.0134,0.2218,-0.958,0.487,-1.98,-0.252,-0.169,-0.0451,
gtja191_030,gtja191,volatility,ok,-0.0381,0.2431,-2.486,0.431,-5.11,0.095,0.087,0.0193,
gtja191_031,gtja191,reversal,ok,-0.0081,0.2439,-0.526,0.494,-1.09,0.288,-0.104,0.0588,
gtja191_032,gtja191,volume,ok,0.0109,0.2761,0.627,0.507,1.29,-0.099,-0.203,-0.0245,
gtja191_033,gtja191,"momentum,volume",ok,-0.004,0.206,-0.308,0.505,-0.63,-0.473,-0.406,-0.0817,
gtja191_034,gtja191,reversal,ok,0.0081,0.2439,0.526,0.506,1.09,-0.288,-0.377,-0.0588,
gtja191_035,gtja191,volume,ok,-0.0067,0.2065,-0.518,0.495,-1.06,-0.404,-0.206,-0.0689,
gtja191_036,gtja191,volume,skip,,,,,,,,,gtja191_036: panel missing required columns ['amount']
gtja191_037,gtja191,momentum,ok,0.0129,0.2067,0.991,0.524,2.04,0.455,-0.068,0.0752,
gtja191_038,gtja191,reversal,ok,0.008,0.1794,0.707,0.51,1.45,0.085,0.015,0.0127,
gtja191_039,gtja191,volume,skip,,,,,,,,,gtja191_039: panel missing required columns ['amount']
gtja191_040,gtja191,volume,ok,-0.0102,0.2094,-0.776,0.491,-1.59,0.412,0.185,0.0746,
gtja191_041,gtja191,microstructure,skip,,,,,,,,,gtja191_041: panel missing required columns ['amount']
gtja191_042,gtja191,"volume,volatility",ok,0.0255,0.1916,2.108,0.551,4.35,0.409,-0.242,0.0636,
gtja191_043,gtja191,"volume,momentum",ok,-0.0154,0.1979,-1.232,0.479,-2.55,-0.609,-0.224,-0.0974,
gtja191_044,gtja191,volume,skip,,,,,,,,,gtja191_044: panel missing required columns ['amount']
gtja191_045,gtja191,volume,skip,,,,,,,,,gtja191_045: panel missing required columns ['amount']
gtja191_046,gtja191,reversal,ok,0.01,0.2485,0.638,0.523,1.31,-0.068,-0.261,-0.0142,
gtja191_047,gtja191,reversal,ok,-0.0096,0.2505,-0.608,0.483,-1.26,-0.86,-0.468,-0.1712,
gtja191_048,gtja191,"volume,momentum",ok,0.0165,0.1903,1.374,0.528,2.82,0.397,0.037,0.0652,
gtja191_049,gtja191,reversal,ok,-0.0018,0.2335,-0.122,0.501,-0.25,-0.684,-0.466,-0.128,
gtja191_050,gtja191,reversal,ok,0.0018,0.2335,0.121,0.499,0.25,0.672,0.182,0.126,
gtja191_051,gtja191,reversal,ok,0.0018,0.2335,0.121,0.499,0.25,0.672,0.18,0.126,
gtja191_052,gtja191,microstructure,ok,0.0008,0.25,0.05,0.509,0.1,0.653,0.267,0.135,
gtja191_053,gtja191,momentum,ok,-0.0053,0.1967,-0.425,0.491,-0.88,0.009,-0.058,0.0015,
gtja191_054,gtja191,"volatility,microstructure",ok,0.0324,0.185,2.777,0.569,5.73,0.944,-0.029,0.148,
gtja191_055,gtja191,microstructure,ok,-0.0062,0.2276,-0.434,0.498,-0.89,0.665,0.07,0.1244,
gtja191_056,gtja191,volume,ok,0.0072,0.162,0.702,0.526,1.41,0.785,0.288,0.1129,
gtja191_057,gtja191,momentum,ok,0.0049,0.2382,0.326,0.5,0.67,0.823,0.265,0.1591,
gtja191_058,gtja191,momentum,ok,-0.0033,0.2019,-0.256,0.505,-0.53,0.139,0.063,0.0238,
gtja191_059,gtja191,momentum,ok,0.0002,0.2309,0.016,0.504,0.03,0.183,-0.174,0.0344,
gtja191_060,gtja191,"volume,microstructure",ok,-0.0047,0.2114,-0.354,0.492,-0.73,0.116,0.225,0.0193,
gtja191_061,gtja191,volume,skip,,,,,,,,,gtja191_061: panel missing required columns ['amount']
gtja191_062,gtja191,volume,ok,0.0075,0.1422,0.842,0.521,1.74,-0.249,-0.248,-0.0299,
gtja191_063,gtja191,momentum,ok,-0.0067,0.2403,-0.443,0.487,-0.92,0.361,-0.061,0.0705,
gtja191_064,gtja191,volume,skip,,,,,,,,,gtja191_064: panel missing required columns ['amount']
gtja191_065,gtja191,reversal,ok,0.0145,0.2342,0.982,0.518,2.03,-0.292,-0.501,-0.0571,
gtja191_066,gtja191,reversal,ok,-0.0145,0.2342,-0.982,0.482,-2.03,0.292,-0.234,0.0571,
gtja191_067,gtja191,momentum,ok,-0.001,0.2588,-0.06,0.502,-0.12,0.396,0.097,0.0849,
gtja191_068,gtja191,volume,ok,0.0035,0.2228,0.246,0.504,0.51,0.259,-0.341,0.0452,
gtja191_069,gtja191,microstructure,ok,-0.003,0.2231,-0.21,0.507,-0.43,0.609,0.249,0.1161,
gtja191_070,gtja191,"volatility,volume",skip,,,,,,,,,gtja191_070: panel missing required columns ['amount']
gtja191_071,gtja191,reversal,ok,-0.0034,0.2548,-0.209,0.494,-0.43,0.598,0.08,0.1288,
gtja191_072,gtja191,reversal,ok,-0.0106,0.2593,-0.65,0.473,-1.34,-0.621,-0.334,-0.129,
gtja191_073,gtja191,volume,skip,,,,,,,,,gtja191_073: panel missing required columns ['amount']
gtja191_074,gtja191,volume,skip,,,,,,,,,gtja191_074: panel missing required columns ['amount']
gtja191_075,gtja191,"sentiment,momentum",ok,0.0016,0.23,0.11,0.505,0.23,0.118,-0.066,0.0219,
gtja191_076,gtja191,"volatility,volume",ok,0.0112,0.1384,1.281,0.543,2.63,0.622,0.177,0.0711,
gtja191_077,gtja191,volume,skip,,,,,,,,,gtja191_077: panel missing required columns ['amount']
gtja191_078,gtja191,reversal,ok,0.0017,0.2302,0.118,0.506,0.24,0.876,0.228,0.163,
gtja191_079,gtja191,momentum,ok,-0.0023,0.251,-0.144,0.497,-0.3,0.398,-0.056,0.0813,
gtja191_080,gtja191,volume,ok,-0.0166,0.1666,-1.585,0.462,-3.28,-0.728,-0.437,-0.1032,
gtja191_081,gtja191,volume,ok,0.0125,0.1971,1.008,0.538,2.09,0.595,0.119,0.0994,
gtja191_082,gtja191,reversal,ok,-0.0114,0.2638,-0.687,0.472,-1.42,-0.441,-0.21,-0.0929,
gtja191_083,gtja191,volume,ok,0.0055,0.1261,0.698,0.52,1.44,-0.303,-0.321,-0.0353,
gtja191_084,gtja191,"volume,momentum",ok,-0.01,0.2048,-0.775,0.489,-1.59,0.161,0.135,0.0273,
gtja191_085,gtja191,"volume,momentum",ok,-0.0011,0.1782,-0.102,0.487,-0.21,-0.675,-0.2,-0.0954,
gtja191_086,gtja191,momentum,ok,0.0041,0.1869,0.347,0.508,0.72,-0.173,-0.152,-0.0271,
gtja191_087,gtja191,microstructure,skip,,,,,,,,,gtja191_087: panel missing required columns ['amount']
gtja191_088,gtja191,momentum,ok,-0.0003,0.2535,-0.017,0.497,-0.03,0.498,0.112,0.1056,
gtja191_089,gtja191,momentum,ok,0.0005,0.2171,0.034,0.491,0.07,0.406,-0.165,0.0706,
gtja191_090,gtja191,volume,skip,,,,,,,,,gtja191_090: panel missing required columns ['amount']
gtja191_091,gtja191,"volume,reversal",ok,-0.0005,0.1887,-0.043,0.5,-0.09,-0.333,-0.449,-0.0528,
gtja191_092,gtja191,volume,skip,,,,,,,,,gtja191_092: panel missing required columns ['amount']
gtja191_093,gtja191,microstructure,ok,-0.0326,0.2442,-2.122,0.427,-4.36,-0.885,-0.502,-0.1624,
gtja191_094,gtja191,"volume,momentum",ok,-0.0075,0.2049,-0.58,0.491,-1.19,0.126,0.13,0.0219,
gtja191_095,gtja191,"volatility,volume",skip,,,,,,,,,gtja191_095: panel missing required columns ['amount']
gtja191_096,gtja191,momentum,ok,0.0093,0.2401,0.616,0.517,1.27,1.04,0.448,0.1993,
gtja191_097,gtja191,"volatility,volume",ok,0.0065,0.1905,0.542,0.509,1.12,0.676,0.103,0.107,
gtja191_098,gtja191,reversal,ok,0.0154,0.1987,1.229,0.533,2.54,-0.031,-0.325,-0.0052,
gtja191_099,gtja191,volume,ok,0.0069,0.1291,0.85,0.513,1.76,-0.151,-0.166,-0.0179,
gtja191_100,gtja191,"volatility,volume",ok,0.0089,0.1906,0.74,0.518,1.52,0.781,0.164,0.1243,
gtja191_101,gtja191,"volume,momentum",skip,,,,,,,,,gtja191_101: panel missing required columns ['amount']
gtja191_102,gtja191,volume,ok,-0.0136,0.1657,-1.306,0.46,-2.71,-0.578,-0.228,-0.0827,
gtja191_103,gtja191,reversal,ok,0.0059,0.2085,0.449,0.514,0.92,1.054,0.428,0.1802,
gtja191_104,gtja191,"volume,volatility",ok,-0.0061,0.1502,-0.64,0.489,-1.32,-0.77,-0.473,-0.0979,
gtja191_105,gtja191,volume,ok,0.0033,0.1377,0.378,0.503,0.78,-0.547,-0.165,-0.0679,
gtja191_106,gtja191,momentum,ok,0.0036,0.2419,0.237,0.501,0.49,0.383,-0.111,0.0742,
gtja191_107,gtja191,reversal,ok,-0.0088,0.1914,-0.728,0.474,-1.51,-0.449,-0.301,-0.0705,
gtja191_108,gtja191,"reversal,volume",skip,,,,,,,,,gtja191_108: panel missing required columns ['amount']
gtja191_109,gtja191,volatility,ok,-0.0101,0.1812,-0.884,0.464,-1.83,0.161,-0.08,0.0248,
gtja191_110,gtja191,momentum,ok,-0.0028,0.2247,-0.198,0.49,-0.41,0.687,0.286,0.1313,
gtja191_111,gtja191,"volume,microstructure",ok,0.0316,0.1964,2.557,0.567,5.3,1.398,0.38,0.2264,
gtja191_112,gtja191,momentum,ok,0.0015,0.2372,0.102,0.493,0.21,0.753,0.245,0.1448,
gtja191_113,gtja191,volume,ok,0.0081,0.15,0.861,0.497,1.76,-0.101,-0.44,-0.0132,
gtja191_114,gtja191,"volume,volatility",skip,,,,,,,,,gtja191_114: panel missing required columns ['amount']
gtja191_115,gtja191,volume,ok,-0.0045,0.153,-0.471,0.5,-0.96,-0.209,-0.199,-0.0269,
gtja191_116,gtja191,momentum,ok,0.0055,0.24,0.362,0.51,0.74,0.502,0.038,0.0947,
gtja191_117,gtja191,"volume,momentum",ok,0.0066,0.1966,0.535,0.515,1.09,-0.366,-0.403,-0.0596,
gtja191_118,gtja191,reversal,ok,-0.0059,0.2219,-0.424,0.483,-0.87,0.766,0.314,0.1452,
gtja191_119,gtja191,volume,skip,,,,,,,,,gtja191_119: panel missing required columns ['amount']
gtja191_120,gtja191,reversal,skip,,,,,,,,,gtja191_120: panel missing required columns ['amount']
gtja191_121,gtja191,volume,skip,,,,,,,,,gtja191_121: panel missing required columns ['amount']
gtja191_122,gtja191,momentum,ok,0.0011,0.2523,0.067,0.5,0.14,0.609,0.355,0.1282,
gtja191_123,gtja191,volume,ok,-0.0042,0.1451,-0.456,0.475,-0.91,0.483,0.159,0.0623,
gtja191_124,gtja191,reversal,skip,,,,,,,,,gtja191_124: panel missing required columns ['amount']
gtja191_125,gtja191,volume,skip,,,,,,,,,gtja191_125: panel missing required columns ['amount']
gtja191_126,gtja191,reversal,ok,-0.0276,0.2181,-2.007,0.455,-4.16,-0.987,-0.541,-0.1645,
gtja191_127,gtja191,volatility,ok,-0.0282,0.251,-1.786,0.455,-3.67,-0.366,-0.164,-0.0714,
gtja191_128,gtja191,momentum,ok,-0.0008,0.2221,-0.059,0.49,-0.12,0.667,0.328,0.1195,
gtja191_129,gtja191,momentum,ok,-0.0381,0.2452,-2.466,0.421,-5.09,-0.956,-0.575,-0.1782,
gtja191_130,gtja191,volume,skip,,,,,,,,,gtja191_130: panel missing required columns ['amount']
gtja191_131,gtja191,volume,skip,,,,,,,,,gtja191_131: panel missing required columns ['amount']
gtja191_132,gtja191,liquidity,skip,,,,,,,,,gtja191_132: panel missing required columns ['amount']
gtja191_133,gtja191,momentum,ok,0.0001,0.2244,0.004,0.492,0.01,-0.528,-0.181,-0.0952,
gtja191_134,gtja191,"momentum,volume",ok,-0.0015,0.2266,-0.108,0.501,-0.22,0.611,0.229,0.1123,
gtja191_135,gtja191,momentum,ok,-0.0002,0.27,-0.014,0.494,-0.03,-0.273,-0.172,-0.0611,
